,Country Name,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP
148,Moldova,7745231660.0,8071480541.0,9669759987.0,11456717193.0,11968713370.0
149,Madagascar,11323023787.0,11848615018.0,13176313233.0,13853433948.0,14114631281.0
150,Maldives,4109447297.0,4379115588.0,4754352301.0,5299773145.0,5642179170.0
151,Middle East & North Africa,3143960000000.0,3155520000000.0,3272610000000.0,3566140000000.0,3649610000000.0
152,Mexico,1171870000000.0,1078490000000.0,1158910000000.0,1222350000000.0,1268870000000.0
153,Marshall Islands,184599600.0,200558400.0,212881000.0,221278000.0,
154,Middle income,26539200000000.0,26707900000000.0,29355500000000.0,31284000000000.0,32153300000000.0
155,North Macedonia,10064515432.0,10672471861.0,11307058382.0,12683073866.0,12547040499.0
156,Mali,13104802016.0,14025944550.0,15365627045.0,17070758732.0,17279566719.0
157,Malta,11091434435.0,11665231192.0,13146963159.0,14750790658.0,14989415684.0
158,Myanmar,67822772707.0,67184236747.0,68945867478.0,76168043982.0,76085852617.0
159,Middle East & North Africa (excluding high income),1440210000000.0,1459990000000.0,1436550000000.0,1520420000000.0,
160,Montenegro,4053097851.0,4373958354.0,4844606146.0,5504255214.0,5542577965.0
161,Mongolia,11749620620.0,11186734674.0,11425755280.0,13108769496.0,13996719329.0
162,Northern Mariana Islands,931000000.0,1250000000.0,1601000000.0,1323000000.0,
163,Mozambique,15950969019.0,11936999283.0,13219084261.0,14845870051.0,15291448212.0
164,Mauritania,6166857629.0,6398744505.0,6758390729.0,7049169771.0,7600656944.0
165,Mauritius,11692287066.0,12232463656.0,13259351418.0,14181951059.0,14048430519.0
166,Malawi,6373212641.0,5433040160.0,6303292264.0,6917301909.0,7666704427.0
167,Malaysia,301355000000.0,301255000000.0,319112000000.0,358715000000.0,364681000000.0
168,North America,19787500000000.0,20250100000000.0,21176400000000.0,22303600000000.0,23177100000000.0
169,Namibia,11272143473.0,10665634688.0,12741746524.0,13454211344.0,12366528259.0
170,New Caledonia,,,,,
171,Niger,9685577941.0,10355006770.0,11189541083.0,12846952857.0,12911689659.0
172,Nigeria,486803000000.0,404650000000.0,375746000000.0,397190000000.0,448120000000.0
173,Nicaragua,12756706583.0,13286083645.0,13785909906.0,13063904770.0,12520915291.0
174,Netherlands,765265000000.0,783528000000.0,833870000000.0,914043000000.0,907051000000.0
175,Norway,385802000000.0,368820000000.0,398394000000.0,434167000000.0,403336000000.0
176,Nepal,21410840909.0,21185922408.0,25180583770.0,29173513476.0,30641380604.0
177,Nauru,86779266.16,100087349.0,109585941.6,124021393.7,118223430.1
178,New Zealand,177468000000.0,188224000000.0,205416000000.0,207921000000.0,206929000000.0
179,OECD members,47286500000000.0,48179000000000.0,50320200000000.0,53201600000000.0,53699400000000.0
180,Oman,68399663322.0,65480507171.0,70598026283.0,79788768969.0,76331518669.0
181,Other small states,370774000000.0,366401000000.0,398893000000.0,442418000000.0,432093000000.0
182,Pakistan,270556000000.0,278655000000.0,304567000000.0,314568000000.0,278222000000.0
183,Panama,54091700000.0,57907700000.0,62219000000.0,65128200000.0,66800800000.0
184,Peru,189805000000.0,191896000000.0,211007000000.0,222045000000.0,226848000000.0
185,Philippines,306446000000.0,318627000000.0,328481000000.0,346842000000.0,376796000000.0
186,Palau,280457700.0,295065400.0,286106800.0,280435700.0,268354919.4
187,Papua New Guinea,21723531182.0,20759069105.0,22742613549.0,24109509856.0,24829107011.0
188,Poland,477812000000.0,472630000000.0,526509000000.0,587412000000.0,595858000000.0
189,Pre-demographic dividend,1340470000000.0,1218120000000.0,1267100000000.0,1338750000000.0,1403790000000.0
190,Puerto Rico,103376000000.0,104337000000.0,103446000000.0,100980000000.0,104989000000.0
191,"Korea, Dem. People’s Rep.",,,,,
192,Portugal,199314000000.0,206286000000.0,221358000000.0,242313000000.0,238785000000.0
193,Paraguay,36164068797.0,36054281572.0,39008900332.0,40384691791.0,38145288940.0
194,West Bank and Gaza,13972400000.0,15405400000.0,16128000000.0,16276600000.0,
195,Pacific island small states,9049548346.0,9475857773.0,10212875641.0,10667782838.0,10634784073.0
196,Post-demographic dividend,44518500000000.0,45500500000000.0,47470300000000.0,50282100000000.0,50769900000000.0
197,French Polynesia,,,,,
198,Qatar,161740000000.0,151732000000.0,161099000000.0,183335000000.0,175838000000.0
199,Romania,177729000000.0,188129000000.0,211695000000.0,241457000000.0,250077000000.0
200,Russian Federation,1363480000000.0,1276790000000.0,1574200000000.0,1669580000000.0,1699880000000.0
201,Rwanda,8545441361.0,8697268916.0,9253098954.0,9635951160.0,10354417725.0
202,South Asia,2697260000000.0,2923010000000.0,3345720000000.0,3445470000000.0,3591840000000.0
203,Saudi Arabia,654270000000.0,644936000000.0,688586000000.0,786522000000.0,792967000000.0
204,Sudan,74294508240.0,51772232495.0,45021077955.0,33128480499.0,30513456085.0
205,Senegal,17774766636.0,19040312815.0,20996564752.0,23236007428.0,23578084052.0
206,Singapore,308004000000.0,318652000000.0,341863000000.0,373217000000.0,372063000000.0
207,Solomon Islands,1307061544.0,1378551118.0,1483758907.0,1593964162.0,1589913622.0
208,Sierra Leone,4218723875.0,3674794530.0,3739577973.0,4085114794.0,4121733705.0
209,El Salvador,23438240000.0,24191440000.0,24979200000.0,26117400000.0,27022640000.0
210,San Marino,1419394771.0,1468377272.0,1528630707.0,1655300873.0,
211,Somalia,,,,,
212,Serbia,39655958843.0,40692643373.0,44179055280.0,50640650221.0,51475016532.0
213,Sub-Saharan Africa (excluding high income),1648850000000.0,1526700000000.0,1626990000000.0,1705380000000.0,1751180000000.0
214,South Sudan,11997800760.0,,,,
215,Sub-Saharan Africa,1661910000000.0,1540370000000.0,1641780000000.0,1721160000000.0,1766940000000.0
216,Small states,452652000000.0,445069000000.0,480559000000.0,528053000000.0,520457000000.0
217,Sao Tome and Principe,316065369.9,345495358.4,375614556.4,412261829.6,418637389.0
218,Suriname,4787367928.0,3128953537.0,3216207914.0,3464656616.0,3697371950.0
219,Slovak Republic,88467555244.0,89655253976.0,95494424979.0,105702000000.0,105080000000.0
220,Slovenia,43090173395.0,44736333522.0,48586603448.0,54161636035.0,54174227309.0
221,Sweden,505104000000.0,515655000000.0,541019000000.0,555455000000.0,530884000000.0
222,Eswatini,4062660890.0,3816018485.0,4402973000.0,4665424249.0,4471598727.0
223,Sint Maarten (Dutch part),1253072626.0,1263687151.0,1191620112.0,1185474860.0,
224,Seychelles,1377495054.0,1426651769.0,1524486800.0,1586009000.0,1703387387.0
225,Syrian Arab Republic,,,,,
226,Turks and Caicos Islands,942070000.0,1032452000.0,1022365000.0,1113178000.0,1197415000.0
227,Chad,10950392220.0,10097778354.0,10000395242.0,11239167048.0,11314951343.0
228,East Asia & Pacific (IDA & IBRD countries),13269100000000.0,13549800000000.0,14807700000000.0,16562500000000.0,17181900000000.0
229,Europe & Central Asia (IDA & IBRD countries),3621710000000.0,3485580000000.0,3908500000000.0,4082390000000.0,4155160000000.0
230,Togo,4180866177.0,4486979198.0,4819949975.0,5364369026.0,5490272413.0
231,Thailand,401296000000.0,413430000000.0,456295000000.0,506514000000.0,543549000000.0
232,Tajikistan,7854602392.0,6952678127.0,7157865188.0,7522947810.0,8116626794.0
233,Turkmenistan,35799714286.0,36180000000.0,37926285714.0,40761142857.0,
234,Latin America & the Caribbean (IDA & IBRD countries),5300260000000.0,5162840000000.0,5755250000000.0,5581210000000.0,5487960000000.0
235,Timor-Leste,1594410800.0,1650608600.0,1599338100.0,1559894900.0,2017924900.0
