,Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment
38,China,1371220000,1378665000,1386395000,1392730000,1397715000,72.61433377,72.20275277,71.71751844,71.20211371,70.72329863,4.629000187,4.534999847,4.440999985,4.276000023,4.320000172,4.012000084,3.928999901,3.846999884,3.703000069,3.726999998,5.114999771,5.010000229,4.90500021,4.722000122,4.78000021
43,Colombia,47520667,48175048,48909844,49661056,50339443,67.77563749,68.0179463,68.24399892,68.444057,68.61338533,8.298999786,8.692000389,8.871999741,9.111000061,9.706999779,10.84000015,11.20400047,11.51299953,11.79399967,12.7130003,6.361999989,6.78000021,6.866000175,7.092000008,7.445000172
44,Comoros,777424,795592,813892,832322,850886,56.96479656,57.09911613,57.26460022,57.45456686,57.65872279,4.493000031,4.449999809,4.375,4.302000046,4.335999966,4.860000134,4.837999821,4.748000145,4.665999889,4.702000141,4.230999947,4.171999931,4.105999947,4.038000107,4.070000172
41,"Congo, Dem. Rep.",76244544,78789127,81398764,84068091,86790567,50.63821747,50.63351317,50.69676857,50.81651729,50.98166141,4.406000137,4.356999874,4.272999763,4.19299984,4.236000061,3.562000036,3.487999916,3.426000118,3.352999926,3.404000044,5.196000099,5.171000004,5.066999912,4.980999947,5.013999939
42,"Congo, Rep.",4856095,4980999,5110702,5244363,5380508,55.27628681,55.3186953,55.41263957,55.554778,55.7413352,9.911999702,9.857999802,9.762999535,9.670000076,9.472000122,10.7670002,10.58199978,10.36100006,10.26500034,10.10499954,9.093000412,9.163999557,9.18900013,9.097000122,8.862999916
46,Costa Rica,4847804,4899345,4949954,4999441,5047561,69.16721468,69.18392152,69.17211756,69.12540822,69.04092888,8.998999596,8.597999573,8.142000198,9.631999969,11.85400009,11.15299988,10.83899975,10.29300022,12.19200039,14.84599972,7.603000164,7.22300005,6.818999767,8.003000259,9.93900013
39,Cote d'Ivoire,23226143,23822714,24437469,25069229,25716544,54.63863285,54.79850449,54.99270587,55.20408485,55.41217747,3.101999998,2.598999977,3.273000002,3.210000038,3.316999912,3.947999954,3.352999926,3.85800004,3.795000076,3.772000074,2.522000074,2.072000027,2.858999968,2.792999983,2.992000103
97,Croatia,4203604,4174349,4124531,4087843,4067500,66.21314502,65.95282709,65.53958216,65.04262698,64.57764368,16.17499924,13.10299969,11.20800018,8.43200016,6.934999943,16.89800072,13.7869997,11.90499973,9.340000153,8.644000053,15.54699993,12.51399994,10.61100006,7.644000053,5.449999809
48,Cuba,11324781,11335109,11339259,11338138,11333483,69.27860239,69.03808734,68.8156205,68.60254959,68.39269093,2.400000095,2,1.700000048,1.700000048,1.638000011,2.582000017,2.181999922,1.636999965,1.825000048,1.776000023,2.28399992,1.883999944,1.74000001,1.621999979,1.550999999
49,Curacao,157980,159664,160175,159800,157538,64.90831858,64.65427315,64.50613283,64.43115906,64.33693949,,,,,,,,,,,,,,,
51,Cyprus,1160985,1170187,1179680,1189265,1198575,70.27145054,70.0034268,69.74801598,69.49309027,69.24464468,14.90799999,12.94999981,11.05200005,8.369999886,7.274000168,14.76599979,13.33300018,11.26900005,8.755000114,8.121999741,15.03199959,12.62100029,10.86499977,8.041000366,6.547999859
52,Czech Republic,10546059,10566332,10594438,10629928,10669709,66.89083524,66.27224569,65.61791833,64.99251759,64.47630503,5.046000004,3.950999975,2.890000105,2.243000031,1.932999969,6.073999882,4.670000076,3.578999996,2.802999973,2.384000063,4.231999874,3.378000021,2.336999893,1.791000009,1.567000031
56,Denmark,5683483,5728010,5764980,5793636,5818553,64.10939592,63.98027856,63.84881462,63.7287848,63.63378215,6.168000221,6.181000233,5.743000031,4.974999905,4.913000107,6.443999767,6.638999939,5.93599987,5.149000168,5.193999767,5.922999859,5.768000126,5.568999767,4.81799984,4.65899992
54,Djibouti,913993,929112,944097,958920,973560,65.12697581,65.27921284,65.56145065,65.89830466,66.1859567,10.58399963,10.51000023,10.38199997,10.25699997,10.29500008,10.83699989,10.72999954,10.50699997,10.35700035,10.40200043,10.41800022,10.36600018,10.30000019,10.18999958,10.22399998
55,Dominica,71183,71307,71458,71625,71808,,,,,,,,,,,,,,,,,,,,
57,Dominican Republic,10281680,10397743,10513131,10627165,10738958,64.66184515,64.77723382,64.86939538,64.94005302,64.99291644,7.605000019,7.282999992,5.831999779,5.738999844,5.84499979,10.90499973,10.73099995,8.121999741,8.074999809,8.279000282,5.480999947,5.026000023,4.320000172,4.169000149,4.201000214
60,Early-demographic dividend,3122156905,3164386912,3206361028,3248239444,3290290613,64.68653169,64.90402265,65.1020515,65.28588243,65.46432069,5.777375694,5.780985573,5.709708911,5.689869894,5.816613529,6.690414171,6.663968297,6.554418364,6.505033868,6.671477345,5.393239775,5.408644668,5.352228419,5.343264393,5.453449474
61,East Asia & Pacific,2282855831,2298486142,2314097713,2328138066,2340628292,70.38862875,70.11692625,69.81087352,69.48816626,69.17713742,4.079162659,3.98654298,3.899911217,3.788435499,3.830287611,3.645233772,3.534946858,3.482658406,3.382615575,3.424569764,4.412313386,4.332143701,4.218722868,4.098926318,4.139990675
59,East Asia & Pacific (excluding high income),2038190036,2053103802,2068142784,2081639097,2093675040,70.88507213,70.62443648,70.32428622,70.00494974,69.699929,4.110509571,4.024462527,3.950131599,3.852769049,3.895681351,3.644545607,3.540091215,3.496936204,3.417308795,3.457939044,4.468607631,4.395083901,4.295885859,4.184973458,4.228728408
228,East Asia & Pacific (IDA & IBRD countries),2012980531,2027771091,2042687863,2056064424,2067984156,70.90413779,70.63685075,70.32788221,69.99925292,69.68691275,4.1282632,4.041624858,3.967300691,3.869544351,3.91277164,3.663222291,3.557619754,3.515437801,3.435104117,3.476154096,4.484841542,4.411100096,4.31121186,4.200166098,4.244157806
64,Ecuador,16212020,16491115,16785361,17084357,17373662,64.33873755,64.5292714,64.68725933,64.81411827,64.92083246,3.615999937,4.597000122,3.835999966,3.529999971,3.967999935,4.524000168,5.848999977,4.928999901,4.400000095,4.958000183,3.023000002,3.726000071,3.069000006,2.928999901,3.282999992
65,Egypt,92442547,94447072,96442593,98423595,100388073,61.58430923,61.20794447,61.03653001,60.97149994,60.88883686,13.05200005,12.40699959,11.73700047,11.59200001,10.76000023,24.9109993,23.68300056,23.08699989,22.99500084,22.14999962,9.428999901,8.876000404,8.251999855,8.088000298,7.239999771
209,El Salvador,6325124,6356143,6388122,6420744,6453553,63.87187034,64.22193459,64.44966802,64.58082908,64.67197217,3.997999907,4.418000221,4.385000229,4.006000042,4.110000134,3.473999977,3.851999998,4.006000042,3.750999928,3.578000069,4.375999928,4.831999779,4.657999992,4.18900013,4.493999958
86,Equatorial Guinea,1168568,1215179,1262001,1308974,1355986,59.93669175,60.04345035,60.23120407,60.42552379,60.6186937,6.644000053,6.585000038,6.482999802,6.382999897,6.433000088,6.412000179,6.315999985,6.208000183,6.084000111,6.184000015,6.778999805,6.742000103,6.643000126,6.55700016,6.577000141
67,Eritrea,,,,,,,,,,,5.337999821,5.284999847,5.19299984,5.104000092,5.144000053,5.171999931,5.119999886,5.031000137,4.922999859,4.953000069,5.479000092,5.426000118,5.330999851,5.257999897,5.308000088
69,Estonia,1315407,1315790,1317384,1321977,1326590,65.04749777,64.81120538,64.46494213,64.01656941,63.54492294,6.186999798,6.762000084,5.760000229,5.366000175,5.114999771,6.133999825,6.065999985,5.298999786,5.31799984,4.96600008,6.236000061,7.414000034,6.190999985,5.409999847,5.254000187
222,Eswatini,1104044,1113984,1124753,1136191,1148130,56.94999475,57.36586364,57.64768115,57.87292052,58.1537805,23.45499992,22.71800041,22.53800011,22.36100006,22.08300018,25.13100052,24.46299934,24.16200066,23.91500092,23.6609993,21.87400055,21.0720005,21.01499939,20.91699982,20.63400078
70,Ethiopia,100835458,103603501,106400024,109224559,112078730,54.37154756,54.806239,55.26137124,55.7158851,56.14686837,2.194999933,2.167999983,2.119999886,2.075000048,2.08100009,2.901000023,2.857000113,2.811000109,2.746000051,2.756000042,1.590000033,1.574000001,1.523000002,1.491999984,1.493999958
66,Euro area,339488380,340481753,341163597,341843156,342597698,64.96167601,64.75279795,64.54246861,64.33211107,64.1226251,10.83974609,10.02740405,9.060117366,8.187862166,7.496169933,11.03115658,10.37835555,9.44583613,8.579467615,7.947112906,10.67765813,9.727561377,8.730446824,7.852854675,7.11010501
63,Europe & Central Asia,906707416,910904758,914585461,917922618.5,921140092,66.62320832,66.29712717,65.96200291,65.62975639,65.31555293,8.558220868,8.096101879,7.491877388,6.903874432,6.763186376,8.538323485,8.109534361,7.561296649,6.997866457,6.821658252,8.574885565,8.084787923,7.434572609,6.825995136,6.714733308
62,Europe & Central Asia (excluding high income),390295673,392870484,395289709,397435105.5,399404587,68.20262316,67.7808832,67.35529488,66.94037868,66.55270746,7.610807125,7.624235736,7.419552779,7.092560212,7.491865217,7.367169519,7.352304293,7.246555169,6.954308772,7.274425463,7.805113132,7.840526021,7.557299558,7.202374672,7.663860111
229,Europe & Central Asia (IDA & IBRD countries),452301305,454717187,456976356,458970243.5,460799505,68.256529,67.82867881,67.37889001,66.92941662,66.50854192,7.643414778,7.471683932,7.125450737,6.700274423,6.994651235,7.42319613,7.214920992,6.949659903,6.56179379,6.802560573,7.818994777,7.675788874,7.265408801,6.810319413,7.146679409
71,European Union,444543759,445487728,446131273,446777673,447512041,65.54327225,65.27508631,64.98536391,64.68896084,64.40529547,10.02373905,9.124785198,8.135618042,7.26938483,6.666848568,10.19017329,9.393515462,8.442319703,7.583233532,7.033350264,9.883847752,8.897388471,7.876071648,7.003505622,6.356053184
76,Faroe Islands,48051,48173,48331,48497,48678,,,,,,,,,,,,,,,,,,,,
