Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guyana,GUY,5.214829922,6.06099987,6.230070114,5.493579865,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Haiti,HTI,3.1572299,2.449589968,2.689450026,2.780469894,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Honduras,HND,6.412970066,..,..,6.06746006,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,3.262120008,3.292649984,3.310100079,3.326519966,3.810580015
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Hungary,HUN,4.518660069,4.655389786,4.667099953,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iceland,ISL,7.512909889,7.495210171,7.658219814,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,India,IND,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Indonesia,IDN,3.583600044,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Iran, Islamic Rep.",IRN,2.797389984,3.365760088,3.790400028,3.955359936,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iraq,IRQ,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ireland,IRL,3.758290052,3.7197299,3.506860018,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Isle of Man,IMN,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Israel,ISR,5.867300034,5.857130051,6.092619896,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Italy,ITA,4.073629856,3.815789938,4.044939995,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jamaica,JAM,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Japan,JPN,..,3.186180115,3.182179928,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jordan,JOR,..,3.514120102,3.284049988,3.034349918,3.072530031
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kazakhstan,KAZ,2.788579941,2.978100061,2.750819921,2.615950108,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kenya,KEN,5.271339893,5.362669945,5.366680145,5.306250095,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kiribati,KIR,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Rep.",KOR,..,4.333099842,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kosovo,XKX,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kuwait,KWT,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,5.985509872,6.586150169,6.026189804,..,..
