Series Name,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",Peru,12.56451,11.48576,11.69517,11.22288,..
"Government expenditure per student, primary (% of GDP per capita)",Philippines,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Poland,23.84992,23.08263,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Portugal,22.50957,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Puerto Rico,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Qatar,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Romania,8.65312,7.82649,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Russian Federation,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Rwanda,5.54209,5.47035,..,4.25557,..
"Government expenditure per student, primary (% of GDP per capita)",Samoa,..,8.96586,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",San Marino,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sao Tome and Principe,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Saudi Arabia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Senegal,13.74234,11.80185,..,10.90433,..
"Government expenditure per student, primary (% of GDP per capita)",Serbia,43.65488,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Seychelles,..,14.19805,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sierra Leone,..,5.66124,4.75965,12.36935,..
"Government expenditure per student, primary (% of GDP per capita)",Singapore,..,..,17.51811,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sint Maarten (Dutch part),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Slovak Republic,21.6772,20.8158,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Slovenia,24.55179,23.5703,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Solomon Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Somalia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",South Africa,..,..,17.6493,17.94111,..
