Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Ghana,GHA,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Gibraltar,GIB,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Greece,GRC,11.19976,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Greenland,GRL,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Grenada,GRD,..,..,5.19902,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Guam,GUM,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Guatemala,GTM,18.05949,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Guinea,GIN,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Guinea-Bissau,GNB,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Guyana,GUY,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Haiti,HTI,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Honduras,HND,40.93656,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Hong Kong SAR, China",HKG,23.31769,24.33261,23.04764,24.20304,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Hungary,HUN,21.24612,25.40887,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Iceland,ISL,24.7867,27.31457,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,India,IND,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Indonesia,IDN,20.76979,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Iran, Islamic Rep.",IRN,..,18.12099,24.15663,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Iraq,IRQ,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Ireland,IRL,18.99692,15.54304,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Isle of Man,IMN,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Israel,ISR,19.25088,18.18129,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Italy,ITA,25.26641,24.32675,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Jamaica,JAM,36.59035,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Japan,JPN,..,20.60904,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Jordan,JOR,..,23.18203,22.61967,25.32656,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kazakhstan,KAZ,11.33543,9.89648,8.5651,7.46282,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kenya,KEN,76.42309,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kiribati,KIR,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Korea, Rep.",KOR,14.76092,15.02377,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kosovo,XKX,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kuwait,KWT,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Kyrgyz Republic,KGZ,..,4.84321,4.89776,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Lao PDR,LAO,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Latvia,LVA,27.37707,17.72948,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Lebanon,LBN,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Lesotho,LSO,..,..,..,44.69406,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Liberia,LBR,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Libya,LBY,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Liechtenstein,LIE,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Lithuania,LTU,24.80784,17.99265,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Luxembourg,LUX,42.75533,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Macao SAR, China",MAC,24.61862,23.20479,19.0542,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Madagascar,MDG,0.03371,0.03809,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Malawi,MWI,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Malaysia,MYS,..,25.90471,24.78556,23.75401,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Maldives,MDV,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Mali,MLI,165.6316,188.86353,166.91975,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Malta,MLT,44.39611,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Marshall Islands,MHL,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Mauritania,MRT,92.77992,95.78092,..,..,..
