Country Name,2015 Total Completion %,2016 Total Completion %,2017 Total Completion %,2018 Total Completion %,2019 Total Completion %,2015 Male Completion %,2016 Male Completion %,2017 Male Completion %,2018 Male Completion %,2019 Male Completion %,2015 Female Completion %,2016 Female Completion %,2017 Female Completion %,2018 Female Completion %,2019 Female Completion %
Chile,96.97695922851558,95.48255157470699,94.7535629272461,96.2421035766602,,97.1112594604492,96.0281600952148,95.3555374145508,96.7167587280273,,96.8377838134766,94.9173812866211,94.130126953125,95.7505722045898,
China,,,,,,,,,,,,,,,
Cote d'Ivoire,60.4421310424805,64.1632080078125,71.5998992919922,74.6025772094727,78.750846862793,66.54544067382811,69.9254531860352,78.4942321777344,79.8310623168945,82.3405685424805,54.334049224853494,58.3889312744141,64.6826095581055,69.3493576049805,75.1386795043945
Cameroon,74.1704330444336,73.3931884765625,68.214241027832,64.47068023681639,65.4980392456055,78.1202774047852,77.2880935668945,71.68711853027341,67.67904663085939,68.58518218994139,70.1702880859375,69.4474411010742,64.6940765380859,61.216678619384794,62.3650016784668
"Congo, Dem. Rep.",69.9111709594727,,,,,69.494270324707,,,,,70.33310699462889,,,,
"Congo, Rep.",,,,,,,,,,,,,,,
Colombia,100.03305053710899,101.711250305176,105.986801147461,106.769386291504,,100.60505676269501,102.24893951416,105.99855804443399,107.138862609863,,99.4352874755859,101.149467468262,105.974510192871,106.38332366943399,
Comoros,,,76.72007751464841,,,,,76.22283935546879,,,,,77.2344665527344,,
Cabo Verde,95.21536254882808,91.0370635986328,87.4014205932617,87.2902069091797,,95.1247406005859,91.93887329101558,86.6782989501953,85.2654190063477,,95.30651092529301,90.1305694580078,88.13062286376949,89.3386001586914,
Costa Rica,99.5866012573242,97.3209075927734,96.7783737182617,98.59436798095699,102.738052368164,99.296142578125,96.52269744873051,96.0699462890625,98.070556640625,103.02496337890601,99.89063262939449,98.1566314697266,97.52011108398442,99.14282989501949,102.437622070313
Caribbean small states,91.51284790039058,91.1435928344727,91.25253295898442,90.81897735595699,90.5476226806641,90.72315216064449,90.71929931640629,90.74859619140629,90.7701416015625,90.2151565551758,92.3183212280273,91.57250213623051,91.7684707641602,90.8684310913086,90.8939666748047
Cuba,97.0762405395508,92.8256072998047,89.5238189697266,84.13140869140629,86.5321502685547,96.3263626098633,92.3100433349609,88.7613525390625,83.7535400390625,86.02886962890629,97.8698196411133,93.3715362548828,90.3309173583984,84.5313720703125,87.0648193359375
Curacao,,,,,,,,,,,,,,,
Cayman Islands,,,,89.55223846435551,,,,,89.9509811401367,,,,,89.1414108276367,
Cyprus,96.81906127929692,98.4673919677734,101.269729614258,101.87670135498001,,95.8925399780273,98.01718139648442,101.380088806152,101.891548156738,,97.7970504760742,98.93182373046879,101.15686798095699,101.860679626465,
Czech Republic,96.07079315185551,97.0674667358398,97.8440399169922,98.5400619506836,,96.0346298217773,96.6775588989258,98.1687698364258,98.30895233154301,,96.10888671875,97.4783782958984,97.5018997192383,98.7835922241211,
Germany,98.9182968139648,97.9372024536133,98.8051376342773,100.84332275390601,,98.8540420532227,97.59335327148442,98.51217651367192,100.146240234375,,98.9863510131836,98.3018798828125,99.1170425415039,101.587768554688,
Djibouti,65.59613037109379,67.35250854492189,62.976318359375,66.3802871704102,,64.3990020751953,65.7929229736328,60.26631164550779,63.556278228759794,,67.06703948974611,69.282600402832,66.3502883911133,69.9091262817383,
Dominica,105.953582763672,113.92669677734399,,,,100.594062805176,112.320327758789,,,,111.52262878418001,115.598289489746,,,
Denmark,98.73802947998051,103.882690429688,103.776397705078,101.03662872314501,,99.1496810913086,105.058212280273,104.62075805664101,101.449493408203,,98.3083267211914,102.66110992431601,102.897109985352,100.604202270508,
Dominican Republic,99.5260772705078,99.1580276489258,95.3280868530273,93.1275177001953,93.3040924072266,101.14063262939501,101.680526733398,96.2698516845703,93.6553802490234,93.87033081054692,97.8575820922852,96.55679321289058,94.3535614013672,92.5823211669922,92.7190475463867
Algeria,105.54672241210899,105.590049743652,105.63671112060499,105.14395904541,101.36463165283199,105.603530883789,105.618858337402,105.52725219726601,104.681930541992,101.15534973144501,105.48757171630899,105.560043334961,105.750701904297,105.62507629394501,101.582572937012
East Asia & Pacific (excluding high income),91.13159942626949,93.7079315185547,95.84619903564449,98.050048828125,98.85059356689449,91.6511917114258,93.76599884033199,95.8552017211914,97.9320068359375,98.75375366210942,90.55358123779301,93.6433334350586,95.8361587524414,98.1822509765625,98.9576797485352
Early-demographic dividend,92.87621307373051,92.40386962890629,91.9417495727539,91.59841918945308,91.9525375366211,92.02529907226558,91.6521835327148,91.1740570068359,91.1110382080078,91.3824462890625,93.79351806640629,93.21231079101558,92.76561737060551,92.1209030151367,92.56201171875
East Asia & Pacific,91.71717071533199,94.0799331665039,95.9815521240234,98.1437835693359,98.89305877685551,92.18994903564449,94.14437866210942,95.998291015625,98.0464324951172,98.8121490478516,91.19293212890629,94.0088424682617,95.9636383056641,98.2535934448242,98.98345947265629
Europe & Central Asia (excluding high income),98.7929306030273,96.74022674560551,97.49771118164058,98.4010391235352,98.6425018310547,98.8245162963867,96.74146270751949,97.51638793945308,98.48095703125,98.76992797851558,98.7595901489258,96.73876190185551,97.4784317016602,98.3171615600586,98.50845336914058
Europe & Central Asia,98.3652114868164,97.1024322509766,97.63890838623051,97.569580078125,97.6998672485352,98.0957565307617,96.7880096435547,97.3258590698242,97.3259811401367,97.4835586547852,98.64832305908199,97.4324264526367,97.9685211181641,97.8258209228516,97.9268417358398
Ecuador,106.404838562012,103.55574035644501,105.41584777831999,104.43367767334,,105.879783630371,103.140586853027,104.82804870605499,103.966796875,,106.952499389648,103.98883056640601,106.029098510742,104.92083740234399,
"Egypt, Arab Rep.",,96.9064483642578,97.1895523071289,100.68521118164101,104.60929870605499,,96.1851425170898,96.7782135009766,99.7918701171875,103.83145904541,,97.67212677001949,97.62610626220699,101.63323974609399,105.43457794189501
Euro area,96.9833831787109,96.1642074584961,96.41973876953129,96.45337677001949,96.4608535766602,96.16613006591801,95.32852172851558,95.5249710083008,95.5433731079102,95.55065155029301,97.8428268432617,97.0432510375977,97.3631591796875,97.4126129150391,97.4194717407227
Eritrea,62.84111022949221,,64.1866607666016,60.270511627197294,,67.0607528686523,,67.8043975830078,64.1984710693359,,58.4561080932617,,60.4193305969238,56.17720031738279,
