Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Canada,35702908.0,36109487.0,36543321.0,37057765.0,37589262.0,67.95488432,67.64695567,67.28747162,66.89774245,66.50620337,6.906000137,6.999000072,6.340000152999999,5.8309998510000005,5.56400013,6.284999847000001,6.237999916000001,5.848999977,5.492000103,5.263000011,7.459000111,7.6779999729999995,6.78000021,6.136000156000001,5.835999966,1556130000000.0,1528240000000.0,1649880000000.0,1716260000000.0,1736430000000.0,19679325.0,19887912.0,20164604.0,20344918.0,20583847.0,7.4270000000000005,7.404,7.315999985,7.327999999999999,7.278
Chad,14110975.0,14561666.0,15016773.0,15477751.0,15946876.0,49.71862681,49.90749681,50.13270845,50.39318107,50.68741364,1.832999945,1.855999947,1.84800005,1.838000059,1.8910000319999998,1.56099999,1.582000017,1.625,1.64199996,1.70599997,2.058000088,2.084000111,2.0329999919999997,2.003000021,2.046000004,10950392220.0,10097778354.0,10000395242.0,11239167048.0,11314951343.0,5221720.0,5408037.0,5597518.0,5788876.0,5995556.0,3.667,3.763,3.9360001089999996,4.301,4.35
Chile,17969353.0,18209068.0,18470439.0,18729160.0,18952038.0,68.83656301,68.82224834,68.78390925,68.71629587,68.62418701,6.507999897,6.737999916000001,6.958000182999999,7.232999802,7.090000152999999,7.137000083999999,7.261000156000001,7.454999924,7.979000092000001,7.702000141,6.06400013,6.366000175,6.599999905,6.6880002020000004,6.642000198,243919000000.0,250440000000.0,277045000000.0,298258000000.0,282318000000.0,8861615.0,9001237.0,9208644.0,9391133.0,9557893.0,6.67,6.705,6.65199995,6.476,6.444
China,1371220000.0,1378665000.0,1386395000.0,1392730000.0,1397715000.0,72.61433377,72.20275277,71.71751844,71.20211371,70.72329863,4.629000187,4.534999847,4.440999985,4.276000023,4.320000172,4.012000083999999,3.928999901,3.8469998839999997,3.703000069,3.726999998,5.114999771,5.010000229,4.90500021,4.722000122,4.78000021,11061600000000.0,11233300000000.0,12310400000000.0,13894800000000.0,14342900000000.0,784597090.0,784950069.0,784839482.0,783424134.0,781074570.0,5.14,5.245,5.2729997630000005,5.246,5.191
Colombia,47520667.0,48175048.0,48909844.0,49661056.0,50339443.0,67.77563749,68.0179463,68.24399892,68.444057,68.61338533,8.298999786,8.692000389,8.871999741,9.111000061,9.706999779,10.84000015,11.20400047,11.51299953,11.79399967,12.713000300000001,6.361999989,6.78000021,6.866000175,7.092000007999999,7.445000172,293482000000.0,282825000000.0,311884000000.0,333569000000.0,323616000000.0,25054953.0,25431103.0,25864779.0,26235604.0,26787864.0,6.477,6.481,6.3569998739999996,6.26,6.125
"Congo, Dem. Rep.",76244544.0,78789127.0,81398764.0,84068091.0,86790567.0,50.63821747,50.63351317,50.69676857,50.81651729,50.98166141,4.4060001369999995,4.3569998739999996,4.2729997630000005,4.19299984,4.236000061,3.562000036,3.487999916,3.426000118,3.3529999260000003,3.4040000439999996,5.196000099,5.171000004,5.066999912,4.980999947,5.013999939,37917704900.0,37134799975.0,38019265626.0,46831342213.0,50400746171.0,26127406.0,26995422.0,27898477.0,28829943.0,29741906.0,3.989,4.236000000000001,4.290999889,4.559,4.812
"Congo, Rep.",4856095.0,4980999.0,5110702.0,5244363.0,5380508.0,55.27628681,55.318695299999995,55.41263957,55.554778000000006,55.74133520000001,9.911999702000001,9.857999802,9.762999535,9.670000076,9.472000122,10.7670002,10.58199978,10.36100006,10.26500034,10.10499954,9.093000412,9.163999557,9.18900013,9.097000122,8.862999916,11953249530.0,10335424288.0,11198674674.0,13518403447.0,12267392147.0,1960470.0,2013099.0,2068663.0,2124852.0,2184551.0,4.5169999999999995,4.272,4.28000021,4.245,4.418
Costa Rica,4847804.0,4899345.0,4949954.0,4999441.0,5047561.0,69.16721468,69.18392152,69.17211756,69.12540822,69.04092888,8.998999596,8.597999573,8.142000198,9.631999968999999,11.85400009,11.15299988,10.83899975,10.29300022,12.19200039,14.84599972,7.603000164,7.22300005,6.818999767,8.003000259,9.93900013,54775994479.0,57157992434.0,58481858043.0,60553901420.0,61801385049.0,2338013.0,2272972.0,2336778.0,2445858.0,2473778.0,7.226,7.087000000000001,7.078999996,7.072,7.167000000000001
Croatia,4203604.0,4174349.0,4124531.0,4087843.0,4067500.0,66.21314502,65.95282709,65.53958216,65.04262698,64.57764368,16.17499924,13.10299969,11.20800018,8.43200016,6.934999942999999,16.89800072,13.7869997,11.90499973,9.340000153,8.644000053,15.54699993,12.51399994,10.61100006,7.644000052999999,5.4499998089999995,49525747504.0,51601147666.0,55481644098.0,61375222347.0,60752588976.0,1887533.0,1828434.0,1821368.0,1794730.0,1778668.0,5.7589999999999995,5.4879999999999995,5.293000221000001,5.321000000000001,5.432
Cyprus,1160985.0,1170187.0,1179680.0,1189265.0,1198575.0,70.27145054,70.00342679999999,69.74801598,69.49309027,69.24464468,14.90799999,12.94999981,11.05200005,8.369999886,7.274000168,14.76599979,13.33300018,11.26900005,8.755000114,8.121999741,15.03199959,12.62100029,10.86499977,8.041000366,6.547999859,19842404305.0,20953442550.0,22729184365.0,25309818139.0,24948935408.0,604302.0,603072.0,611083.0,625713.0,629536.0,5.689,5.546,5.620999812999999,5.7620000000000005,6.046
