Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemployment,2016 Total Unemployment,2017 Total Unemployment,2018 Total Unemployment,2019 Total Unemployment,2015 Female Unemployment,2016 Female Unemployment,2017 Female Unemployment,2018 Female Unemployment,2019 Female Unemployment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Access to Electricity,2016 Access to Electricity,2017 Access to Electricity,2018 Access to Electricity,2015 Mortality (<5),2016 Mortality (<5),2017 Mortality (<5),2018 Mortality (<5),2019 Mortality (<5),2015 Female Life Expectancy,2016 Female Life Expectancy,2017 Female Life Expectancy, 2018 Female Life Expectancy,2015 Male Life Expectancy,2016 Male Life Expectancy,2017 Male Life Expectancy, 2018 Male Life Expectancy,2015 Military Expenditure (%GDP),2016 Military Expenditure (%GDP),2017 Military Expenditure (%GDP), 2018 Military Expenditure (%GDP),2019 Military Expenditure (%GDP),2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Burkina Faso,18110624.0,18646378.0,19193284.0,19751535.0,20321378.0,52.0181855688683,52.2026259606635,52.4098388004856,52.6449378491703,52.9148909094649,6.4180002212524405,6.343999862670901,6.21600008010864,6.093999862670901,6.26399993896484,9.38799953460693,9.31999969482422,9.13000011444092,8.94999980926514,9.22299957275391,4.01800012588501,3.94000005722046,3.86199998855591,3.78500008583069,3.88000011444092,16.30467415,16.8605938,17.50648117,14.4,100.7,97.0,93.9,90.7,87.5,60.525,60.988,61.43,61.863,59.183,59.592,59.981,60.361,6.143704662,5.387174482000001,5.195314408,7.949459817999999,9.014804814,11832159276.0,12833363370.0,14106956830.0,16059910871.0,15990803570.0,6572285.0,6787426.0,7009083.0,7238229.0,7468213.0,3.5869999999999997,3.739,4.032000065,4.4239999999999995,4.587
Bangladesh,156256276.0,157970840.0,159670593.0,161356039.0,163046161.0,65.6185771379833,66.1113230721407,66.625937004745,67.1355868778783,67.60528326698841,4.37799978256226,4.349999904632569,4.37200021743774,4.281000137329101,4.19000005722046,7.46700000762939,7.37900018692017,6.744999885559079,6.6230001449585,6.2039999961853,3.16100001335144,3.12800002098084,3.34699988365173,3.25999999046326,3.30599999427795,73.12796783,75.92,88.0,85.16042328,37.5,35.7,33.9,32.3,30.8,73.316,73.655,73.97800000000002,74.291,69.97800000000001,70.192,70.40899999999998,70.637,10.51397839,10.92106449,9.782484547000001,9.573014438,9.711647447999999,195079000000.0,221415000000.0,249711000000.0,274039000000.0,302571000000.0,62595846.0,63698450.0,67454903.0,68791250.0,70009461.0,4.694,4.643,4.607999802,4.5,4.456
Bulgaria,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,65.7074330868291,65.254273902527,64.7976668313048,64.3826202477506,64.0616538090281,9.14299964904785,7.574999809265139,6.16400003433228,5.21099996566772,4.34000015258789,8.41600036621094,6.96799993515015,5.94600009918213,4.65299987792969,3.96900010108948,9.77600002288818,8.09799957275391,6.354000091552732,5.69000005722046,4.657000064849849,100.0,100.0,100.0,100.0,8.1,7.7,7.4,7.0,6.7,78.2,78.5,78.4,78.6,71.2,71.3,71.4,71.5,3.337620002,3.800916579,3.815981513,4.222775952,8.407620254,50647442757.0,53806894796.0,58971520599.0,66230155100.0,68558815112.0,3333802.0,3264392.0,3357160.0,3327614.0,3295081.0,4.218,4.217,4.714000225,4.933,5.011
Bahrain,1371851.0,1425791.0,1494074.0,1569439.0,1641172.0,76.826054724602,77.267581807164,77.78620364693629,78.3193560020542,78.7624941200557,1.12999999523163,0.919000029563904,0.7009999752044681,0.6499999761581421,0.71399998664856,3.74499988555908,3.27999997138977,2.79200005531311,2.65599989891052,2.96300005912781,0.404000014066696,0.27599999308586104,0.148000001907349,0.133000001311302,0.150000005960464,100.0,100.0,100.0,100.0,7.6,7.4,7.3,7.1,6.9,77.848,77.997,78.143,78.285,75.936,76.063,76.188,76.312,12.67118486,13.30077538,13.34645669,12.00668896,12.08142726,31050638298.0,32234973404.0,35473776596.0,37652500000.0,38574069149.0,777895.0,817831.0,869405.0,926959.0,978624.0,5.96,6.218,6.086999893,6.105,6.199
Bosnia and Herzegovina,3429361.0,3386267.0,3351527.0,3323929.0,3301000.0,70.2778739246174,70.0003779974757,69.45453189219829,68.7634648796227,68.10508936685851,27.6940002441406,25.408000946044893,20.5270004272461,18.3999996185303,18.4249992370605,30.6539993286133,29.9769992828369,23.0990009307861,20.294000625610398,21.002000808715803,25.747999191284197,22.4769992828369,18.8390007019043,17.179000854492198,16.761999130249,99.7,100.0,100.0,100.0,6.3,6.2,6.1,6.0,5.9,79.292,79.439,79.581,79.72,74.376,74.499,74.622,74.752,2.3036398780000003,2.2135055880000003,2.124318395,2.079549267,2.26081673,16211541820.0,16913330694.0,18080118128.0,20183510561.0,20164193807.0,1363985.0,1347240.0,1328960.0,1319691.0,1306464.0,4.949,5.162999999999999,5.18200016,5.129,5.386
Belarus,9489616.0,9501534.0,9498264.0,9483499.0,9466856.0,69.4136283541907,69.0701098908777,68.7169869180976,68.2889087752101,67.7628384969718,5.91400003433228,5.84000015258789,5.650000095367429,4.76000022888184,4.59499979019165,4.26200008392334,4.18599987030029,4.03900003433228,3.5539999008178698,3.3499999046325697,7.544000148773191,7.47300004959106,7.22800016403198,5.92000007629395,5.78999996185303,100.0,100.0,100.0,100.0,4.0,3.8,3.6,3.4,3.2,78.9,79.0,79.2,79.4,68.6,68.9,69.3,69.2,30.68832379,31.07331469,29.6190234,31.99163575,31.79736078,56454734397.0,47722657821.0,54726595249.0,60031262269.0,63080457023.0,5106430.0,5106665.0,5097017.0,5087320.0,5036882.0,5.813,5.8020000000000005,5.568999767,5.483,5.3229999999999995
Bolivia,10869730.0,11031813.0,11192854.0,11353142.0,11513100.0,60.8389076821595,61.1159325202546,61.4195037816536,61.7345048621782,62.03610669585081,3.0659999847412096,3.5250000953674303,3.67000007629395,3.53399991989136,3.49799990653992,3.7969999313354506,4.07499980926514,4.07100009918213,3.62899994850159,3.8090000152587904,2.56399989128113,3.125,3.36899995803833,3.45799994468689,3.25099992752075,91.522822,91.8,91.8,95.5853653,31.0,29.5,28.2,27.0,26.0,73.105,73.512,73.878,74.209,67.6,67.898,68.173,68.434,3.910798584,4.077058528,3.980244705,4.142404083,3.895864927,33000198248.0,33941126200.0,37508642165.0,40287647930.0,40895322844.0,4925990.0,5080592.0,5293299.0,5631725.0,5735836.0,5.89,5.822,5.822999954,5.752000000000001,5.779
Brazil,204471769.0,206163058.0,207833831.0,209469333.0,211049527.0,69.5661340906186,69.6487895917995,69.7106712029254,69.7430902567055,69.7391982309441,8.427000045776369,11.6000003814697,12.8219995498657,12.3339996337891,12.083000183105499,10.0550003051758,13.458000183105499,14.7180004119873,14.229999542236301,14.138999938964801,7.212999820709231,10.206000328063999,11.369999885559098,10.8690004348755,10.4949998855591,99.710902,99.7,100.0,100.0,15.7,16.4,14.8,14.4,13.9,78.69800000000002,78.934,79.156,79.362,71.345,71.578,71.804,72.024,3.548477973,3.400787852,3.694155806,3.918640612,3.855655322,1802210000000.0,1795700000000.0,2062830000000.0,1885480000000.0,1839760000000.0,101600929.0,102508951.0,104260712.0,105542232.0,106500838.0,6.983,6.952000000000001,6.635000229,6.419,6.3
Botswana,2120716.0,2159944.0,2205128.0,2254126.0,2303697.0,61.2468147550167,61.32850786160829,61.4743229270593,61.663179637881406,61.8691173361775,17.746999740600604,17.659000396728498,17.504999160766598,17.3530006408691,18.193000793457,20.8439998626709,20.9050006866455,20.649000167846697,20.5209999084473,21.222000122070305,14.8100004196167,14.5719995498657,14.5100002288818,14.3319997787476,15.317999839782699,58.1154747,60.35446548,62.60235214,64.85172272,41.2,43.6,43.8,43.0,41.6,70.013,70.893,71.559,72.04899999999998,64.458,65.22,65.79,66.204,7.141478745,9.964904487,9.271059887,8.455170232999999,8.586335558,14420593484.0,15646354089.0,17405588070.0,18663265549.0,18340480936.0,978489.0,999036.0,1023359.0,1049545.0,1080610.0,4.332,3.9739999999999998,3.766000032,3.59,3.488
Canada,35702908.0,36109487.0,36543321.0,37057765.0,37589262.0,67.9548843196081,67.6469556724162,67.28747162393,66.8977424466943,66.506203368219,6.906000137329099,6.999000072479251,6.34000015258789,5.830999851226809,5.56400012969971,6.28499984741211,6.23799991607666,5.84899997711182,5.49200010299683,5.26300001144409,7.45900011062622,7.67799997329712,6.78000020980835,6.136000156402591,5.83599996566772,100.0,100.0,100.0,100.0,5.3,5.2,5.1,5.0,4.9,84.0,84.0,84.1,84.1,79.9,79.9,79.9,79.9,2.880447132,2.867097411,3.357385163,3.265359961,3.1503100980000003,1556130000000.0,1528240000000.0,1649880000000.0,1716260000000.0,1736430000000.0,19679325.0,19887912.0,20164604.0,20344918.0,20583847.0,7.4270000000000005,7.404,7.315999985,7.327999999999999,7.278
