"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Barbados","BRB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","99.2872314453125","","","","","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","85.1368103027344","","","","","","","","","","92.4521865844727","","","","","","","","","","95.1504211425781","","","","","","","","","","97.4281616210938","","","","","","","98.0536193847656","","",
"Bhutan","BTN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.0477828979492","","","","","","","66.003059387207","","","","","75.0198516845703","","","",
"Botswana","BWA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3869400024414","","","","","","","","","","","","80.4301071166992","","","","","","","","","","86.1221389770508","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","29.5929203033447","","","","","","","","","","","","","48.0203018188477","","","","","","","","","","","","66.7895278930664","","","","","","","","","","50.7127113342285","","","","","","","","49.514591217041","","",
"Canada","CAN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","99.0113830566406","99.0222778320313","99.0403900146484","99.0546112060547","99.0643768310547","99.0789108276367","98.9963302612305","99.0193634033203","99.0429382324219","99.0559310913086","99.0770568847656","99.0928802490234","99.1094665527344","99.1261978149414","99.1389694213867","99.1491775512695","99.178352355957","99.1005630493164","99.1218795776367","99.1275863647461","99.1319198608398","99.1308364868164","99.1313400268555","99.1334915161133","99.1278228759766","99.1289978027344","99.1479263305664","99.2821731567383","99.2888412475586","99.2944793701172","99.2964630126953","99.2969512939453","99.2998886108398","99.3031005859375","99.3075180053711","","","","",
"Switzerland","CHE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","91.4805374145508","","","","","","","","","","94.5630722045898","","","","","","","","","","95.7964096069336","","","","","","97.7024993896484","97.8893585205078","96.9942474365234","96.8987808227539","","96.3880081176758","","97.0246887207031","","96.4806289672852","","","",
"China","CHN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","79.191780090332","","","","","","","","87.0249786376953","","","","","","","","","","95.1352462768555","","","","","","","","","","97.4794616699219","","","","","","","","98.4665374755859","","",
"Cote d'Ivoire","CIV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3635406494141","","","","","","","","","","43.946418762207","","60.8606605529785","","","","","","","","","","","","51.5926704406738","","50.7019004821777","","","","53.6569404602051","","",
"Cameroon","CMR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","54.6298484802246","","","","","","","","","","","","","","","","","","","","","","","","79.1945190429688","","","","","","","78.9499588012695","","","78.3276901245117","","","","","","","","82.6280364990234","","",
